Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2021/32455 ;23.06.2021 23:35;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, VLASTINA 17 
2021/31212 ;17.06.2021 6:55;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, ŠPÁLOVA 17 
2021/31121 ;02.10.2021 11:12;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42b (právnická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, Bendova 1224/30 
2021/30784 ;15.06.2021 11:20;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. g) zneèistí nebo poškodí dálnici, silnici, komunikaci, souèást komunikace ; Vyøízeno ;0;Plzeò, ZIKMUNDA WINTRA 10 
2021/30531 ;14.06.2021 8:29;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, MAJEROVA 32 
2021/28397 ;03.06.2021 11:40;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, MAJEROVA 30 
2021/26091 ;23.05.2021 22:00;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, JEÈNÁ 43 
2021/25137 ;19.05.2021 7:05;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec, Osoby pouèeny ;0;Plzeò, RESSLOVA 6 
2021/24663 ;17.05.2021 10:20;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, HEYROVSKÉHO 31 
2021/24661 ;17.05.2021 9:30;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Bez závad, Vyøízeno ;0;Plzeò, U HÁJOVNY 32 
2021/23905 ;13.05.2021 14:05;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, STEHLÍKOVA 3 
2021/23282 ;10.05.2021 13:30;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, SOKOLOVSKÁ 59 
2021/21591 ;16.10.2021 9:30;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, BENDOVA 15 
2021/20433 ;26.04.2021 8:07;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, U BORSKÉHO PARKU 
2021/20156 ;24.04.2021 9:01;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, RABŠTEJNSKÁ 31 
2021/19985 ;21.04.2021 14:45;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, BORSKÁ 63 
2021/18204 ;14.04.2021 13:19;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, TURISTICKÁ 14 
2021/17118 ;08.04.2021 9:46;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. g) zneèistí nebo poškodí dálnici, silnici, komunikaci, souèást komunikace ; Pøedáno - Mìsto / Obec ;0;Plzeò, NÁMÌSTÍ MÍRU 3 
2021/17026 ;03.04.2021 16:55;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, DOPRAVNÍ 139 
2021/16978 ;07.04.2021 14:15;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Vyøízeno, Pøedáno - Mìsto / Obec ;0;Plzeò, TOUŽIMSKÁ 8 
2021/16637 ;05.04.2021 9:23;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, U KAŠNY 7 
2021/16515 ;03.04.2021 17:14;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, DOMAŽLICKÁ 1010/178 
2021/16508 ;02.04.2021 11:34;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, WALTROVA 995 
2021/16477 ;03.04.2021 10:38;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, WALTROVA 995 
2021/16474 ;07.06.2021 16:10;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - ostatní ; Pøedáno - Mìsto / Obec ;0;Plzeò, GERSKÁ 48 
2021/16053 ;01.04.2021 19:29;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, KAZNÌJOVSKÁ 49 
2021/15839 ;31.03.2021 19:25;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42b (právnická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, SOKOLOVSKÁ 19 
2021/15203 ;28.03.2021 8:24;PØ ;Zákon è. 13/1997 Sb., o pozemních komunikacích - § 42a (fyzická osoba) - odst. 1 písm. i) na dálnici, silnici, komunikaci provádí zakázanou èinnost ; Pøedáno - Mìsto / Obec ;0;Plzeò, BOLEVECKÁ 11 
