Èíslo jednací ;Datum a èas ;Typ události ;Typ podrobnì ;Zpùsob øešení ;Pokuta ;Ulice 
2022/73196 ;13.11.2022 1:20;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NA OKRAJI 3 
2022/72838 ;05.11.2022 12:05;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, POD VŠEMI SVATÝMI 40 
2022/72616 ;10.11.2022 2:29;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, VRBOVECKÁ 2 
2022/71700 ;06.11.2022 7:16;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NA DLOUHÝCH 82 
2022/69093 ;26.10.2022 12:55;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KØIMICKÁ 
2022/68829 ;25.10.2022 11:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, KOTKOVA 
2022/68752 ;25.10.2022 11:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, KOTKOVA 
2022/68734 ;25.10.2022 7:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, SMRKOVÁ 1201/2 
2022/68229 ;23.10.2022 19:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, KE ŠPITÁLSKÉMU LESU 2 
2022/67505 ;20.10.2022 12:59;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, NAD ÚSLAVOU 13 
2022/67372 ;19.10.2022 20:34;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, SMRKOVÁ 959/4 
2022/67217 ;03.05.2022 13:18;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, ŠEØÍKOVÁ 18 
2022/66338 ;15.10.2022 6:57;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, NAD TÝNCEM 42 
2022/65260 ;10.10.2022 16:52;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Osoby pouèeny, Pøedáno - Mìsto / Obec ;0;Plzeò, Lidická 24 
2022/65007 ;09.10.2022 11:07;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, BOLEVECKÁ 17 
2022/65004 ;09.10.2022 10:28;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, V MALÉ DOUBRAVCE 24 
2022/64995 ;09.10.2022 14:45;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, ZÁBÌLSKÁ 36 
2022/64849 ;08.10.2022 8:04;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, NÝØANSKÁ 36 
2022/64072 ;05.10.2022 7:39;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace vozidla ;0;Plzeò, DRUŽBY 1057/4 
2022/63791 ;03.10.2022 22:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, ROKYCANSKÁ 40 
2022/63534 ;02.10.2022 22:11;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, ŽELEZNIÈÁØSKÁ 75 
2022/63532 ;02.10.2022 22:05;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ, Provedena lustrace vozidla ;0;Plzeò, ŽELEZNIÈÁØSKÁ 75 
2022/63369 ;01.10.2022 19:00;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, NA VRŠÍÈKÁCH 15 
2022/63366 ;02.10.2022 1:27;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ, Provedena lustrace vozidla ;0;Plzeò, NÁKUPNÍ 
2022/63220 ;30.09.2022 21:08;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ ;0;Plzeò, SMRKOVÁ 28 
2022/62806 ;29.09.2022 10:30;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, ROKYCANSKÁ 130 
2022/62668 ;28.09.2022 14:59;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace vozidla, Pøedáno - Mìsto / Obec ;0;Plzeò, KAROLINY SVÌTLÉ 18 
2022/62595 ;28.09.2022 7:15;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec ;0;Plzeò, V ZAHRÁDKÁCH 
2022/62504 ;27.09.2022 12:09;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Provedena lustrace øidièe v CEØ, Pøedáno - Mìsto / Obec ;0;Plzeò, KE KUKAÈCE 16 
2022/62422 ;26.09.2022 14:17;PØ ;Zákon è.168/1999 Sb., o pojištìní z provozu vozidla - § 16/1 ; Pøedáno - Mìsto / Obec, Provedena lustrace øidièe v CEØ ;0;Plzeò, ROKYCANSKÁ 
